company,ceo,ceo_salary,company_revenue
Toyota,Oliver Peterson,"$24,150,230 ","$317,589,469,002 "
Hyundai,Sophia Vance,"$13,512,457 ","$254,589,697,802 "
Honda,Elijah Brooks,"$20,425,968 ","$418,789,569,001 "
Subaru,Amelia Thorne,"$15,264,879 ","$233,698,789,514 "
Mercedes,Lucas Montgomery,"$30,258,745 ","$515,232,674,851 "
BMW,Isabella Hayes,"$27,859,658 ","$415,879,589,602 "
Volkswagen,Benjamin Fletcher,"$10,254,874 ","$125,874,896,362 "
Tesla,Charlotte Caldwell,"$50,125,487 ","$613,256,987,415 "
Lexus,Henry Sterling,"$35,126,547 ","$215,784,123,695 "
Acura,Mia Henderson,"$24,152,487 ","$385,785,412,598 "
Volvo,Mason Gallagher,"$29,587,987 ","$401,258,748,512 "
Mazda,Harper Reynolds,"$25,123,658 ","$396,859,745,852 "
